id	image_link	link	title	product_category	description	price	sale_price	availability	brand	condition	status
LS-PAP2502	https://static.wixstatic.com/media/1799ca_bfed7ea1060f4102a56b7a5c1437ee82~mv2.jpg	https://www.artebarte.co.il/prints-posters	Buddha's Standpoint	Art Prints,Black & White,Famous Artists,First Slider,Portrait	Buddha's Standpoint	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2503	https://static.wixstatic.com/media/1799ca_eb761172ab914699899530866d60d0b1~mv2.gif	https://www.artebarte.co.il/prints-posters	Eiffel Tower - Robert Delaunay	Art Prints,Famous Artists,Portrait	Eiffel Tower - Robert Delaunay	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2504	https://static.wixstatic.com/media/1799ca_99bf719b1f9649be90e54a4b83e30e30~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Japonaise	Art Prints,Famous Artists,Portrait	La Japonaise	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2505	https://static.wixstatic.com/media/1799ca_706198eac03a4693a4d0782c5e7a1953~mv2.jpg	https://www.artebarte.co.il/prints-posters	Le Buisson	Art Prints,Famous Artists,Portrait	Le Buisson	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2506	https://static.wixstatic.com/media/1799ca_6762f337594b437d82ba8a45973f1222~mv2.jpg	https://www.artebarte.co.il/prints-posters	Blue Marigold	Art Prints,Famous Artists,Portrait	Blue Marigold	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2507	https://static.wixstatic.com/media/1799ca_afc08a1824e04e16bfbfeda3c0a3b4f7~mv2.jpg	https://www.artebarte.co.il/prints-posters	Hilma af Klint #6	Art Prints,Famous Artists,Portrait	Hilma af Klint #6	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2508	https://static.wixstatic.com/media/1799ca_c5b8f3e4f6514b86bcf570f167555b40~mv2.jpg	https://www.artebarte.co.il/prints-posters	Please don't do coke in the bathroom	Art Prints,First Slider,Portrait,Typography	Please don't do coke in the bathroom	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2509	https://static.wixstatic.com/media/1799ca_c7d59cf934cc4369a1dd7d087234103e~mv2.jpg	https://www.artebarte.co.il/prints-posters	Essence of Line	Art Prints,Illustrations,Portrait	Essence of Line	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2510	https://static.wixstatic.com/media/1799ca_663e81fcb0c049d08a8645df83394c6b~mv2.jpg	https://www.artebarte.co.il/prints-posters	American Flamingo	Art Prints,Painting,Portrait,Vintage	American Flamingo	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2511	https://static.wixstatic.com/media/1799ca_d2c08f08975b49a3bba2e87efa8f6969~mv2.jpg	https://www.artebarte.co.il/prints-posters	Sandestin	Art Prints,Illustrations,Lifestyle,Portrait	Sandestin	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2512	https://static.wixstatic.com/media/1799ca_4e2e6611465849e9a4e5e473134a2e78~mv2.jpg	https://www.artebarte.co.il/prints-posters	Let's get naked	Art Prints,Portrait,Typography	Let's get naked	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2513	https://static.wixstatic.com/media/1799ca_45c2ce9783764e3aba8a522966582e3a~mv2.jpg	https://www.artebarte.co.il/prints-posters	Nonchalant	Art Prints,Portrait,Typography	Nonchalant	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2514	https://static.wixstatic.com/media/1799ca_22ce2d3cf50b48aea9bf16368164000e~mv2.jpg	https://www.artebarte.co.il/prints-posters	Make your mind a good place to be	Art Prints,Portrait,Typography	Make your mind a good place to be	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2515	https://static.wixstatic.com/media/1799ca_0e02e55d88dc4cee9024e96ab8d5e0a4~mv2.jpg	https://www.artebarte.co.il/prints-posters	Pomodoro	Art Prints,Illustrations,Lifestyle,Portrait	Pomodoro	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2516	https://static.wixstatic.com/media/1799ca_8b3bac3ec4c34c07a685627261c92c0b~mv2.gif	https://www.artebarte.co.il/prints-posters	Santorini	Art Prints,Illustrations,Lifestyle,Portrait	Santorini	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2517	https://static.wixstatic.com/media/1799ca_e12d1f662b184eed9d51a3c219a09639~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bora bora	Abstract,Art Prints,Illustrations,Portrait	Bora bora	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2518	https://static.wixstatic.com/media/1799ca_e98f926d28a0474ab202b2eb321cf08e~mv2.jpg	https://www.artebarte.co.il/prints-posters	Secret Beach	Art Prints,Photography,Portrait	Secret Beach	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2519	https://static.wixstatic.com/media/1799ca_d7b7daa9598f4164b4a34474d9f9c445~mv2.jpg	https://www.artebarte.co.il/prints-posters	The Heart	Art Prints,Famous Artists,Portrait	The Heart	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2520	https://static.wixstatic.com/media/1799ca_86525ec1992444179d389fa1940b7fb4~mv2.jpg	https://www.artebarte.co.il/prints-posters	Selbstbildnis	Art Prints,Famous Artists,First Slider,Portrait	Selbstbildnis	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2521	https://static.wixstatic.com/media/1799ca_48e5bd0523d14f4f9d27ea58a8e3cf48~mv2.jpg	https://www.artebarte.co.il/prints-posters	Landscape at Collioure	Art Prints,Famous Artists,Portrait	Landscape at Collioure	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2522	https://static.wixstatic.com/media/1799ca_c64760dcf67341fbb55333bc598749f0~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bright Colors Bauhaus	Art Prints,Bauhaus,Portrait	Bright Colors Bauhaus	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2523	https://static.wixstatic.com/media/1799ca_d837d825ee0e450d8662441d322b4f31~mv2.jpg	https://www.artebarte.co.il/prints-posters	Text & Flowers	Art Prints,Black & White,First Slider,Illustrations,Portrait,Typography	Text & Flowers	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2524	https://static.wixstatic.com/media/1799ca_8ca72e6652114a4c8a33b27ddae57d28~mv2.jpg	https://www.artebarte.co.il/prints-posters	Seaweed Abstract	Abstract,Art Prints,Portrait	Seaweed Abstract	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2525	https://static.wixstatic.com/media/1799ca_d299373048c842f8997cddd79509644d~mv2.jpg	https://www.artebarte.co.il/prints-posters	Rocks Abstract	Abstract,Art Prints,Portrait,Second Slider	Rocks Abstract	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2526	https://static.wixstatic.com/media/1799ca_023e4d8abd4542d5a53629d1676c6b05~mv2.gif	https://www.artebarte.co.il/prints-posters	Vintage palm tree #01	Art Prints,Botanical,Painting,Portrait,Vintage	Vintage palm tree #01	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2527	https://static.wixstatic.com/media/1799ca_5cd717631d7043f0ade7319d7c3d230b~mv2.gif	https://www.artebarte.co.il/prints-posters	Vintage palm tree #02	Art Prints,Botanical,Painting,Portrait,Second Slider,Vintage	Vintage palm tree #02	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2529	https://static.wixstatic.com/media/1799ca_19328253262b4177bbe7baeb8e381835~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Stairway	Art Prints,Bauhaus,Dopamine,Famous Artists,First Slider,Painting,Portrait,Vintage	Bauhaus Stairway	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2530	https://static.wixstatic.com/media/1799ca_b46b3fd237b542ff9ef9ef14ca952ff4~mv2.jpg	https://www.artebarte.co.il/prints-posters	Red Lobster	Art Prints,Illustrations,Painting,Portrait,Red	Red Lobster	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2531	https://static.wixstatic.com/media/1799ca_72e4394c2541483f9b963c9c77de3533~mv2.gif	https://www.artebarte.co.il/prints-posters	Pink Poppies	Art Prints,Illustrations,Portrait,Second Slider	Pink Poppies	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2532	https://static.wixstatic.com/media/1799ca_f62fa9d8112a497f93c814a023b3de99~mv2.jpg	https://www.artebarte.co.il/prints-posters	Wine & Dinner	Art Prints,Illustrations,Portrait	Wine & Dinner	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2533	https://static.wixstatic.com/media/1799ca_045f697aca124624a178c60c0300b179~mv2.gif	https://www.artebarte.co.il/prints-posters	Blue flowers with vase	Art Prints,Botanical,Illustrations,Line Art,Portrait	Blue flowers with vase	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2534	https://static.wixstatic.com/media/1799ca_4908a90836a04e5397b71608d436dc16~mv2.jpg	https://www.artebarte.co.il/prints-posters	Beige Reverie	Art Prints,Boho,Painting,Portrait	Beige Reverie	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2535	https://static.wixstatic.com/media/1799ca_8b2f35cb433d42949d3ec91b96901d21~mv2.gif	https://www.artebarte.co.il/prints-posters	Whispers of Sand	Art Prints,Boho,Painting,Portrait,Second Slider	Whispers of Sand	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2536	https://static.wixstatic.com/media/1799ca_e3bf4c6780b6427390dd5450ff966c2a~mv2.jpg	https://www.artebarte.co.il/prints-posters	There is no place like home	Art Prints,Boho,Portrait,Second Slider,Typography	There is no place like home	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2537	https://static.wixstatic.com/media/1799ca_2d87a7ceff2c4824b60f1a11f7b84352~mv2.jpg	https://www.artebarte.co.il/prints-posters	Red Dance	Art Prints,Famous Artists,First Slider,Painting,Portrait,Red	Red Dance	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2538	https://static.wixstatic.com/media/1799ca_4038a98c80ae4969835fcd46ac3623a5~mv2.jpg	https://www.artebarte.co.il/prints-posters	Flower Market - Tokyo	Art Prints,Botanical,Illustrations,Portrait	Flower Market - Tokyo	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2539	https://static.wixstatic.com/media/1799ca_992aee34f0724a478b9f578ee4470a08~mv2.jpg	https://www.artebarte.co.il/prints-posters	Nude With Oranges	Art Prints,Famous Artists,Painting,Portrait	Nude With Oranges	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2540	https://static.wixstatic.com/media/1799ca_8e110927fa0946999bc17e0b2e5023d6~mv2.jpg	https://www.artebarte.co.il/prints-posters	Beagle	Art Prints,Black & White,Line Art,Portrait	Beagle	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2541	https://static.wixstatic.com/media/1799ca_4112744ad9c14821a43611da95a17a74~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme I	Art Prints,First Slider,Portrait	La Boheme I	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2542	https://static.wixstatic.com/media/1799ca_a28a7c8a3d724a3baed339f6be1c0cc5~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme III	Art Prints,Portrait	La Boheme III	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2543	https://static.wixstatic.com/media/1799ca_f94e8ce180804f09b57bde5dc027cd05~mv2.gif	https://www.artebarte.co.il/prints-posters	Negroni	Art Prints,Dopamine,First Slider,Portrait,Red	Negroni	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2544	https://static.wixstatic.com/media/1799ca_4c862e764fd642adae60b1a224439103~mv2.jpg	https://www.artebarte.co.il/prints-posters	Home sweet home	Art Prints,Boho,First Slider,Portrait,Typography	Home sweet home	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2545	https://static.wixstatic.com/media/1799ca_14f810cbf3f24b459bb74a6294497c70~mv2.gif	https://www.artebarte.co.il/prints-posters	Good food good mood	Art Prints,Boho,Portrait,Typography	Good food good mood	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2546	https://static.wixstatic.com/media/1799ca_4a0c7ef4751644009a23a1f712a353ba~mv2.jpg	https://www.artebarte.co.il/prints-posters	LP Bauhaus	Art Prints,Bauhaus,Portrait	LP Bauhaus	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2547	https://static.wixstatic.com/media/1799ca_1b4055f2b38b411daa87712322c8b902~mv2.jpg	https://www.artebarte.co.il/prints-posters	LP Bauhaus II	Art Prints,Bauhaus,Portrait	LP Bauhaus II	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2548	https://static.wixstatic.com/media/1799ca_07b3322be9394ed39e9dbbfcea1eb096~mv2.jpg	https://www.artebarte.co.il/prints-posters	Black Bauhaus	Art Prints,Bauhaus,Portrait	Black Bauhaus	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2548	https://static.wixstatic.com/media/1799ca_df39fd9c11ff49d3ad09f955f61db9d6~mv2.jpg	https://www.artebarte.co.il/prints-posters	La Boheme II	Art Prints,Boho,Portrait	La Boheme II	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2549	https://static.wixstatic.com/media/1799ca_966e82cfa1c14ad090867cd235c90c1f~mv2.jpg	https://www.artebarte.co.il/prints-posters	Black Bauhaus I	Art Prints,Bauhaus,Portrait	Black Bauhaus I	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2550	https://static.wixstatic.com/media/1799ca_bfcf261c3879436e95d6935248f1575a~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Staircase	Art Prints,Bauhaus,Portrait	Bauhaus Staircase	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2551	https://static.wixstatic.com/media/1799ca_2783409b17e641278da50da05b7e28fb~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Text	Art Prints,Bauhaus,Portrait	Bauhaus Text	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2552	https://static.wixstatic.com/media/1799ca_46ba03d1a83d417fb49a71fc33fb8d17~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Pink/Blue	Art Prints,Bauhaus,Portrait	Bauhaus Pink/Blue	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
LS-PAP2553	https://static.wixstatic.com/media/1799ca_7453d755f84e455ba444340a13ca88c0~mv2.jpg	https://www.artebarte.co.il/prints-posters	Bauhaus Blue	Art Prints,Bauhaus,Portrait	Bauhaus Blue	95.00 ILS	90.25 ILS	in stock	ArteBarte	New	Active
